STRATUM	AUDIT_ID	CANDIDATE_ID	CHAIN_ID	DECIDED_AT	DECISION	DECISION_CATEGORY	TARGET_TREND_ID	PROMOTED_TO	SIM_BAND	MAX_NEIGHBOR_SIM	TURN_EXHAUSTED	ET_RESCUE_ROUTED	ET_WAS_SECOND_SOURCE	N_FAMILIES	CLUSTER_SIZE	SOURCE_COUNT	CAND_CONFIDENCE	SPECIFICITY_SCORE	DISTILLATION_VERDICT	TOPIC
S01_turn_exhausted	f5895c12-1087-4b6b-bd43-e6bd36211462	cand-kvggp06bmrgg2o4j	chain-047075bb-270b-4512-9b47-2fd58f76ab77	2026-07-11T10:15:30	DEFER	AMBIGUOUS_TOPIC_JUDGMENT			none		true	true	false	1	2	1	0.95	0.9	REAL_TREND	Tweens adopting multi-step adult skincare with harsh actives
S01_turn_exhausted	20854eb8-6d72-4cb0-a350-4cfc6327bb1e	cand-kvggp06bmrgg2o4j	chain-41948787-59e9-4451-b788-c449d18be4ad	2026-07-13T13:16:41	DEFER	AMBIGUOUS_TOPIC_JUDGMENT			none		true	true	false	1	2	1	0.95	0.9	REAL_TREND	Tweens adopting multi-step adult skincare with harsh actives
S01_turn_exhausted	4be1a37d-76b0-460b-8dbc-551820ce58d7	cand-kvggp06bmrgg2o4j	chain-4929e2aa-153b-40ee-8719-507bfc23bfe5	2026-07-15T16:15:49	DEFER	AMBIGUOUS_TOPIC_JUDGMENT			none		true	true	false	1	2	1	0.95	0.9	REAL_TREND	Tweens adopting multi-step adult skincare with harsh actives
S01_turn_exhausted	89aef34b-fde8-44f6-8ed6-2942ea390469	cand-ycc57ov5mtlagofq	chain-93c9deff-4883-44cc-a324-f98df8f6d4a8	2026-09-03T07:15:25	DEFER	AMBIGUOUS_TOPIC_JUDGMENT			lt060	0.5363	true	true	false	0	0	0	0.8	0.9	REAL_TREND	Using pH-reactive and color-changing makeup for custom shades
S01_turn_exhausted	95ef8388-35bc-4d56-bd7e-76b2ea636650	cand-ycc57ov5mtlagofq	chain-9619cb41-6eca-49d6-9731-170aa21ffa1c	2026-09-05T10:15:23	DEFER	AMBIGUOUS_TOPIC_JUDGMENT			lt060	0.5363	true	true	false	0	0	0	0.8	0.9	REAL_TREND	Using pH-reactive and color-changing makeup for custom shades
S01_turn_exhausted	63310f1f-4644-44c6-9a6b-1a65dfe457cb	cand-x6gub4aomrp0ovow	chain-aebb6dac-656b-4d9c-95f1-cd65907c0a74	2026-07-17T10:15:32	DEFER	AMBIGUOUS_TOPIC_JUDGMENT			b060_070	0.66	true	true	false	1	2	1	0.85	0.9	REAL_TREND	Attending DIY perfume labs and scent bars to craft custom fragrances
S01_turn_exhausted	70dc736c-67e6-48f6-9c17-6d35278d96b9	cand-x6gub4aomrp0ovow	chain-d4f43c74-2306-418d-9202-83084852a79d	2026-07-19T10:16:55	DEFER	AMBIGUOUS_TOPIC_JUDGMENT			b060_070	0.66	true	true	false	1	2	1	0.85	0.9	REAL_TREND	Attending DIY perfume labs and scent bars to craft custom fragrances
S02_defer_needs_signal	14cb55d9-a240-4d56-9de8-82405cd520ab	cand-glh5vv4xmoycgff1	chain-76ca3d55-62bd-42b2-b922-8b6ff260cadf	2026-05-09T10:15:16	DEFER	NEEDS_MORE_SIGNAL		23681d0a-c4c7-44a1-b7f6-691f86b0b6af	none		false	false	false	2	2	2	0.9	0.95	REAL_TREND	Scalp skinification: applying facial skincare ingredients & SPF to the scalp
S02_defer_needs_signal	71c3c106-f485-408a-9e67-5356ce0653ff	cand-mts5lctqmp5yse1q	chain-cf32af94-5ae5-4d20-adb3-1ec9a58095fa	2026-05-14T19:14:53	DEFER	NEEDS_MORE_SIGNAL		748e1813-5cbf-4647-8dd1-e06ecbb429c9	lt060	0.5418	false	false	false	2	2	2	0.8	0.9	REAL_TREND	Proactive 'stress fitness' via non-stimulant adaptogen/mushroom RTDs
S02_defer_needs_signal	a8d24407-ada9-4838-bd2b-d9137dc07d64	cand-bf61vj5ymr9aun2c	chain-9a81ef95-08a1-4329-b234-0234511d98b1	2026-07-06T10:15:21	DEFER	NEEDS_MORE_SIGNAL		61bc6490-d54c-4ebd-9b1d-dc7026bbf5ac	none		false	false	false	2	2	2	0.8	0.85	REAL_TREND	Wellness-first dating (swapping drinks for breathwork/sound baths)
